variable,country,year,value,percentile
shweal_p90p100_992_j,GB,1994,0.5569000000000001,p90p100
shweal_p90p100_992_j,GB,1995,0.5255000000000001,p90p100
shweal_p90p100_992_j,GB,1996,0.5405,p90p100
shweal_p90p100_992_j,GB,1997,0.5653,p90p100
shweal_p90p100_992_j,GB,1998,0.5668000000000001,p90p100
shweal_p90p100_992_j,GB,1999,0.5488000000000001,p90p100
shweal_p90p100_992_j,GB,2000,0.5578000000000001,p90p100
shweal_p90p100_992_j,GB,2001,0.5511,p90p100
shweal_p90p100_992_j,GB,2002,0.5545,p90p100
shweal_p90p100_992_j,GB,2003,0.5449,p90p100
shweal_p90p100_992_j,GB,2004,0.5403,p90p100
shweal_p90p100_992_j,GB,2005,0.5415,p90p100
shweal_p90p100_992_j,GB,2006,0.5444,p90p100
shweal_p90p100_992_j,GB,2007,0.5439,p90p100
shweal_p90p100_992_j,GB,2008,0.5381,p90p100
shweal_p90p100_992_j,GB,2009,0.5441,p90p100
shweal_p90p100_992_j,GB,2010,0.5463,p90p100
shweal_p90p100_992_j,GB,2011,0.5584,p90p100
shweal_p90p100_992_j,GB,2012,0.5568000000000001,p90p100
shweal_p90p100_992_j,GB,2013,0.5677,p90p100
shweal_p90p100_992_j,GB,2014,0.5781000000000001,p90p100
shweal_p90p100_992_j,GB,2015,0.5661,p90p100
shweal_p90p100_992_j,GB,2016,0.5714,p90p100
shweal_p90p100_992_j,GB,2017,0.5755,p90p100
shweal_p90p100_992_j,GB,2018,0.5714,p90p100
shweal_p90p100_992_j,GB,2019,0.5695,p90p100
shweal_p90p100_992_j,GB,2020,0.5684,p90p100
shweal_p90p100_992_j,GB,2021,0.5702,p90p100
shweal_p90p100_992_j,GB,2022,0.5707,p90p100
shweal_p90p100_992_j,GB,2023,0.5712,p90p100
shweal_p90p100_992_j,GB,2024,0.5714,p90p100
shweal_p99p100_992_j,GB,1820,0.6801,p99p100
shweal_p99p100_992_j,GB,1850,0.6873,p99p100
shweal_p99p100_992_j,GB,1880,0.7204,p99p100
shweal_p99p100_992_j,GB,1895,0.7211000000000001,p99p100
shweal_p99p100_992_j,GB,1896,0.7285,p99p100
shweal_p99p100_992_j,GB,1897,0.7201000000000001,p99p100
shweal_p99p100_992_j,GB,1898,0.7235,p99p100
shweal_p99p100_992_j,GB,1899,0.7093,p99p100
shweal_p99p100_992_j,GB,1900,0.7156,p99p100
shweal_p99p100_992_j,GB,1901,0.7088,p99p100
shweal_p99p100_992_j,GB,1902,0.7175,p99p100
shweal_p99p100_992_j,GB,1903,0.7103,p99p100
shweal_p99p100_992_j,GB,1904,0.7183,p99p100
shweal_p99p100_992_j,GB,1905,0.7251000000000001,p99p100
shweal_p99p100_992_j,GB,1906,0.7041000000000001,p99p100
shweal_p99p100_992_j,GB,1907,0.6994,p99p100
shweal_p99p100_992_j,GB,1908,0.6964,p99p100
shweal_p99p100_992_j,GB,1909,0.7025,p99p100
shweal_p99p100_992_j,GB,1910,0.6847000000000001,p99p100
shweal_p99p100_992_j,GB,1911,0.6889000000000001,p99p100
shweal_p99p100_992_j,GB,1912,0.6943,p99p100
